timestamp,predicted_kWh_p10,predicted_kWh_p50,predicted_kWh_p90,predicted_CO2_p50,predicted_PF_p50,hour,day_of_week,is_weekend,Load_Type,predicted_kWh
2019-01-01 00:00:00,2.0,3.764,3.789,0.151,8.0,0,Tuesday,0,Light_Load,3.764
2019-01-01 00:15:00,2.0,3.719,3.752,0.151,8.0,0,Tuesday,0,Light_Load,3.719
2019-01-01 00:30:00,2.0,3.697,3.714,0.151,8.0,0,Tuesday,0,Light_Load,3.697
2019-01-01 00:45:00,2.0,3.69,3.683,0.151,8.0,0,Tuesday,0,Light_Load,3.69
2019-01-01 01:00:00,2.0,3.69,3.681,0.151,8.0,1,Tuesday,0,Light_Load,3.69
2019-01-01 01:15:00,2.0,3.69,3.681,0.151,8.0,1,Tuesday,0,Light_Load,3.69
2019-01-01 01:30:00,2.0,3.69,3.681,0.151,8.0,1,Tuesday,0,Light_Load,3.69
2019-01-01 01:45:00,2.0,3.69,3.681,0.151,8.0,1,Tuesday,0,Light_Load,3.69
2019-01-01 02:00:00,2.0,3.69,3.681,0.15,8.0,2,Tuesday,0,Light_Load,3.69
2019-01-01 02:15:00,2.0,3.69,3.681,0.15,8.0,2,Tuesday,0,Light_Load,3.69
2019-01-01 02:30:00,2.0,3.69,3.681,0.15,8.0,2,Tuesday,0,Light_Load,3.69
2019-01-01 02:45:00,2.0,3.69,3.681,0.15,8.0,2,Tuesday,0,Light_Load,3.69
2019-01-01 03:00:00,2.0,3.69,3.681,0.154,8.0,3,Tuesday,0,Light_Load,3.69
2019-01-01 03:15:00,2.0,3.69,3.681,0.154,8.0,3,Tuesday,0,Light_Load,3.69
2019-01-01 03:30:00,2.0,3.69,3.681,0.154,8.0,3,Tuesday,0,Light_Load,3.69
2019-01-01 03:45:00,2.0,3.69,3.681,0.154,8.0,3,Tuesday,0,Light_Load,3.69
2019-01-01 04:00:00,2.0,3.69,3.681,0.164,8.0,4,Tuesday,0,Light_Load,3.69
2019-01-01 04:15:00,2.0,3.69,3.681,0.164,8.0,4,Tuesday,0,Light_Load,3.69
2019-01-01 04:30:00,2.0,3.69,3.681,0.164,8.0,4,Tuesday,0,Light_Load,3.69
2019-01-01 04:45:00,2.0,3.69,3.681,0.164,8.0,4,Tuesday,0,Light_Load,3.69
2019-01-01 05:00:00,2.0,3.69,3.681,0.175,8.0,5,Tuesday,0,Light_Load,3.69
2019-01-01 05:15:00,2.0,3.69,3.681,0.175,8.0,5,Tuesday,0,Light_Load,3.69
2019-01-01 05:30:00,2.0,3.69,3.681,0.175,8.0,5,Tuesday,0,Light_Load,3.69
2019-01-01 05:45:00,2.0,3.69,3.681,0.175,8.0,5,Tuesday,0,Light_Load,3.69
2019-01-01 06:00:00,2.0,3.691,3.681,0.175,8.0,6,Tuesday,0,Medium_Load,3.691
2019-01-01 06:15:00,2.0,3.691,3.681,0.175,8.0,6,Tuesday,0,Medium_Load,3.691
2019-01-01 06:30:00,2.0,3.691,3.681,0.175,8.0,6,Tuesday,0,Medium_Load,3.691
2019-01-01 06:45:00,2.0,3.691,3.681,0.175,8.0,6,Tuesday,0,Medium_Load,3.691
2019-01-01 07:00:00,2.0,3.694,3.69,0.178,8.0,7,Tuesday,0,Medium_Load,3.694
2019-01-01 07:15:00,2.0,3.694,3.69,0.178,8.0,7,Tuesday,0,Medium_Load,3.694
2019-01-01 07:30:00,2.0,3.694,3.69,0.178,8.0,7,Tuesday,0,Medium_Load,3.694
2019-01-01 07:45:00,2.0,3.694,3.69,0.178,8.0,7,Tuesday,0,Medium_Load,3.694
2019-01-01 08:00:00,2.0,3.742,3.8,0.179,8.0,8,Tuesday,0,Maximum_Load,3.742
2019-01-01 08:15:00,2.0,3.77,3.902,0.179,8.0,8,Tuesday,0,Maximum_Load,3.77
2019-01-01 08:30:00,2.0,3.77,3.902,0.179,8.0,8,Tuesday,0,Maximum_Load,3.77
2019-01-01 08:45:00,2.0,3.77,3.902,0.179,8.0,8,Tuesday,0,Maximum_Load,3.77
2019-01-01 09:00:00,2.0,3.775,4.065,0.216,8.0,9,Tuesday,0,Maximum_Load,3.775
2019-01-01 09:15:00,2.0,3.775,4.065,0.216,8.0,9,Tuesday,0,Maximum_Load,3.775
2019-01-01 09:30:00,2.0,3.775,4.065,0.216,8.0,9,Tuesday,0,Maximum_Load,3.775
2019-01-01 09:45:00,2.0,3.775,4.065,0.216,8.0,9,Tuesday,0,Maximum_Load,3.775
2019-01-01 10:00:00,2.0,3.782,4.065,0.2,8.0,10,Tuesday,0,Maximum_Load,3.782
2019-01-01 10:15:00,2.0,3.817,4.102,0.2,8.0,10,Tuesday,0,Maximum_Load,3.817
2019-01-01 10:30:00,2.0,3.817,4.102,0.2,8.0,10,Tuesday,0,Maximum_Load,3.817
2019-01-01 10:45:00,2.0,3.817,4.102,0.2,8.0,10,Tuesday,0,Maximum_Load,3.817
2019-01-01 11:00:00,2.0,3.85,5.123,0.108,8.0,11,Tuesday,0,Maximum_Load,3.85
2019-01-01 11:15:00,2.0,3.926,5.191,0.108,8.0,11,Tuesday,0,Maximum_Load,3.926
2019-01-01 11:30:00,2.0,3.954,5.195,0.108,8.0,11,Tuesday,0,Maximum_Load,3.954
2019-01-01 11:45:00,2.0,3.954,5.195,0.108,8.0,11,Tuesday,0,Maximum_Load,3.954
2019-01-01 12:00:00,2.0,3.918,5.163,0.093,8.0,12,Tuesday,0,Maximum_Load,3.918
2019-01-01 12:15:00,2.0,3.927,5.173,0.093,8.0,12,Tuesday,0,Maximum_Load,3.927
2019-01-01 12:30:00,2.0,3.918,5.163,0.093,8.0,12,Tuesday,0,Maximum_Load,3.918
2019-01-01 12:45:00,2.0,3.927,5.173,0.093,8.0,12,Tuesday,0,Maximum_Load,3.927
2019-01-01 13:00:00,2.0,3.954,5.33,0.114,8.0,13,Tuesday,0,Maximum_Load,3.954
2019-01-01 13:15:00,2.0,3.954,5.33,0.114,8.0,13,Tuesday,0,Maximum_Load,3.954
2019-01-01 13:30:00,2.0,3.954,5.33,0.114,8.0,13,Tuesday,0,Maximum_Load,3.954
2019-01-01 13:45:00,2.0,3.954,5.33,0.114,8.0,13,Tuesday,0,Maximum_Load,3.954
2019-01-01 14:00:00,2.0,3.921,4.231,0.133,8.0,14,Tuesday,0,Maximum_Load,3.921
2019-01-01 14:15:00,2.0,3.921,4.231,0.133,8.0,14,Tuesday,0,Maximum_Load,3.921
2019-01-01 14:30:00,2.0,3.921,4.231,0.133,8.0,14,Tuesday,0,Maximum_Load,3.921
2019-01-01 14:45:00,2.0,3.921,4.231,0.133,8.0,14,Tuesday,0,Maximum_Load,3.921
2019-01-01 15:00:00,2.0,3.921,4.231,0.149,8.0,15,Tuesday,0,Maximum_Load,3.921
2019-01-01 15:15:00,2.0,3.921,4.231,0.149,8.0,15,Tuesday,0,Maximum_Load,3.921
2019-01-01 15:30:00,2.0,3.921,4.231,0.149,8.0,15,Tuesday,0,Maximum_Load,3.921
2019-01-01 15:45:00,2.0,3.921,4.231,0.149,8.0,15,Tuesday,0,Maximum_Load,3.921
2019-01-01 16:00:00,2.0,3.914,4.05,0.118,8.0,16,Tuesday,0,Maximum_Load,3.914
2019-01-01 16:15:00,2.0,3.924,4.06,0.118,8.0,16,Tuesday,0,Maximum_Load,3.924
2019-01-01 16:30:00,2.0,3.914,4.05,0.118,8.0,16,Tuesday,0,Maximum_Load,3.914
2019-01-01 16:45:00,2.0,3.924,4.06,0.118,8.0,16,Tuesday,0,Maximum_Load,3.924
2019-01-01 17:00:00,2.0,3.872,3.914,0.169,8.0,17,Tuesday,0,Maximum_Load,3.872
