date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,hour,day,month,day_of_week,is_weekend,hour_sin,hour_cos,month_sin,month_cos,Usage_kWh_lag_1,Usage_kWh_lag_2,Usage_kWh_lag_4,Usage_kWh_lag_96,Usage_kWh_diff_1,Usage_kWh_rolling_mean_4,Usage_kWh_rolling_std_4,Usage_kWh_rolling_min_4,Usage_kWh_rolling_max_4,Usage_kWh_rolling_mean_96,Usage_kWh_rolling_std_96,Usage_kWh_rolling_min_96,Usage_kWh_rolling_max_96,Usage_kWh_ewma_4
2018-01-01 00:00:00,3.42,3.46,0.0,0.0,70.3,100.0,0,Weekday,Monday,Light_Load,0,1,1,0,0,0.0,1.0,0.0,1.0,3.42,3.42,3.42,3.42,-0.25,3.42,0.0,3.42,3.42,3.42,0.0,3.42,3.42,3.42
2018-01-01 00:15:00,3.17,2.95,0.0,0.0,73.21,100.0,900,Weekday,Monday,Light_Load,0,1,1,0,0,0.0,1.0,0.0,1.0,3.42,3.42,3.42,3.42,-0.25,3.42,0.0,3.42,3.42,3.42,0.0,3.42,3.42,3.42
2018-01-01 00:30:00,4.0,4.46,0.0,0.0,66.77,100.0,1800,Weekday,Monday,Light_Load,0,1,1,0,0,0.0,1.0,0.0,1.0,3.17,3.42,3.42,3.42,0.8300000000000001,3.295,0.1767766952966369,3.17,3.42,3.295,0.1767766952966369,3.17,3.42,3.3200000000000003
2018-01-01 00:45:00,3.24,3.28,0.0,0.0,70.28,100.0,2700,Weekday,Monday,Light_Load,0,1,1,0,0,0.0,1.0,0.0,1.0,4.0,3.17,3.42,3.42,-0.7599999999999998,3.53,0.42579337712087545,3.17,4.0,3.53,0.42579337712087545,3.17,4.0,3.592
2018-01-01 01:00:00,3.31,3.56,0.0,0.0,68.09,100.0,3600,Weekday,Monday,Light_Load,1,1,1,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,3.24,4.0,3.42,3.42,0.06999999999999984,3.4575,0.3766851027936553,3.17,4.0,3.4575,0.3766851027936553,3.17,4.0,3.4512
2018-01-01 01:15:00,3.82,4.5,0.0,0.0,64.72,100.0,4500,Weekday,Monday,Light_Load,1,1,1,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,3.31,3.24,3.17,3.42,0.5099999999999998,3.43,0.38427420765212267,3.17,4.0,3.428,0.33282127335854,3.17,4.0,3.3947200000000004
2018-01-01 01:30:00,3.28,3.56,0.0,0.0,67.76,100.0,5400,Weekday,Monday,Light_Load,1,1,1,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,3.82,3.31,4.0,3.42,-0.54,3.5925000000000002,0.37499999999999983,3.24,4.0,3.4933333333333336,0.33797435800170794,3.17,4.0,3.564832
2018-01-01 01:45:00,3.6,4.14,0.0,0.0,65.62,100.0,6300,Weekday,Monday,Light_Load,1,1,1,0,0,0.25881904510252074,0.9659258262890683,0.0,1.0,3.28,3.82,3.24,3.42,0.3200000000000003,3.4125,0.2731757675929547,3.24,3.82,3.4628571428571426,0.31888944195516444,3.17,4.0,3.4508992000000003
2018-01-01 02:00:00,3.6,4.28,0.0,0.0,64.37,100.0,7200,Weekday,Monday,Light_Load,2,1,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,3.6,3.28,3.31,3.42,0.0,3.5025,0.25617376914899,3.28,3.82,3.48,0.29918938101858783,3.17,4.0,3.51053952
2018-01-01 02:15:00,3.28,3.64,0.0,0.0,66.94,100.0,8100,Weekday,Monday,Light_Load,2,1,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,3.6,3.6,3.82,3.42,-0.3200000000000003,3.5749999999999997,0.22233608194203042,3.28,3.82,3.4933333333333336,0.28271009886454357,3.17,4.0,3.5463237120000004
2018-01-01 02:30:00,3.78,4.72,0.0,0.0,62.51,100.0,9000,Weekday,Monday,Light_Load,2,1,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,3.28,3.6,3.28,3.42,0.5,3.4400000000000004,0.18475208614068073,3.28,3.6,3.472,0.27494645943447893,3.17,4.0,3.4397942272
2018-01-01 02:45:00,3.46,4.03,0.0,0.0,65.14,100.0,9900,Weekday,Monday,Light_Load,2,1,1,0,0,0.49999999999999994,0.8660254037844387,0.0,1.0,3.78,3.28,3.6,3.42,-0.31999999999999984,3.565,0.20808652046684806,3.28,3.78,3.5,0.27687542325024084,3.17,4.0,3.57587653632
2018-01-01 03:00:00,3.24,3.64,0.0,0.0,66.49,100.0,10800,Weekday,Monday,Light_Load,3,1,1,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,3.46,3.78,3.6,3.42,-0.21999999999999975,3.53,0.21197484127446192,3.28,3.78,3.4966666666666666,0.2642427717540111,3.17,4.0,3.5295259217919996
2018-01-01 03:15:00,3.96,4.97,0.0,0.0,62.32,100.0,11700,Weekday,Monday,Light_Load,3,1,1,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,3.24,3.46,3.28,3.42,0.7199999999999998,3.44,0.24603522782994583,3.24,3.78,3.476923076923077,0.2628175734669904,3.17,4.0,3.4137155530752
2018-01-01 03:30:00,3.31,3.74,0.0,0.0,66.27,100.0,12600,Weekday,Monday,Light_Load,3,1,1,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,3.96,3.24,3.78,3.42,-0.6499999999999999,3.6100000000000003,0.32186953878862123,3.24,3.96,3.511428571428571,0.28359931492965806,3.17,4.0,3.63222933184512
2018-01-01 03:45:00,3.31,3.85,0.0,0.0,65.19,100.0,13500,Weekday,Monday,Light_Load,3,1,1,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,3.31,3.96,3.46,3.42,0.0,3.4924999999999997,0.32489741970864155,3.24,3.96,3.4979999999999998,0.27818801453076913,3.17,4.0,3.5033375991070717
2018-01-01 04:00:00,3.89,5.0,0.0,0.0,61.4,100.0,14400,Weekday,Monday,Light_Load,4,1,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,3.31,3.31,3.24,3.42,0.5800000000000001,3.455,0.3382799629498224,3.24,3.96,3.48625,0.27283389330017876,3.17,4.0,3.4260025594642434
2018-01-01 04:15:00,3.28,3.82,0.0,0.0,65.14,100.0,15300,Weekday,Monday,Light_Load,4,1,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,3.89,3.31,3.96,3.42,-0.6100000000000003,3.6175,0.35621856586464795,3.31,3.96,3.5100000000000002,0.2817356917396161,3.17,4.0,3.611601535678546
2018-01-01 04:30:00,3.56,4.28,0.0,0.0,63.95,100.0,16200,Weekday,Monday,Light_Load,4,1,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,3.28,3.89,3.31,3.42,0.28000000000000025,3.4475,0.2953387885124471,3.28,3.89,3.4972222222222222,0.2786481136520218,3.17,4.0,3.4789609214071273
2018-01-01 04:45:00,3.74,4.54,0.0,0.0,63.58,100.0,17100,Weekday,Monday,Light_Load,4,1,1,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,3.56,3.28,3.31,3.42,0.18000000000000016,3.5100000000000002,0.28272483678186694,3.28,3.89,3.500526315789474,0.2711800075433808,3.17,4.0,3.5113765528442764
2018-01-01 05:00:00,3.31,3.6,0.0,0.0,67.68,100.0,18000,Weekday,Monday,Light_Load,5,1,1,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,3.74,3.56,3.89,3.42,-0.43000000000000016,3.6175,0.2623451924468983,3.28,3.89,3.5125,0.26932420298924026,3.17,4.0,3.6028259317065663
2018-01-01 05:15:00,3.56,4.07,0.0,0.0,65.84,100.0,18900,Weekday,Monday,Light_Load,5,1,1,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,3.31,3.74,3.28,3.42,0.25,3.4725,0.21807873196011868,3.28,3.74,3.502857142857143,0.26619810024008167,3.17,4.0,3.48569555902394
2018-01-01 05:30:00,3.56,4.1,0.0,0.0,65.56,100.0,19800,Weekday,Monday,Light_Load,5,1,1,0,0,0.9659258262890683,0.25881904510252074,0.0,1.0,3.56,3.31,3.56,3.42,0.0,3.5425000000000004,0.17670597047072292,3.31,3.74,3.505454545454546,0.2600682561088489,3.17,4.0,3.515417335414364
